項次,學期,週次,英文,中文,
A-1,1,A,agree,同意,./sound/6上學期/A-1 同意.mp3
A-2,1,A,understand,了解,./sound/6上學期/A-2 了解.mp3
A-3,1,A,language,語言,./sound/6上學期/A-3 語言.mp3
A-4,1,A,way of life,生活方式,./sound/6上學期/A-4 生活方式.mp3
A-5,1,A,help,幫助,./sound/6上學期/A-5 幫助.mp3
A-6,1,A,cleaned the room,清理房間,./sound/6上學期/A-6 清理房間.mp3
A-7,1,A,cooked dinner,煮晚餐,./sound/6上學期/A-7 煮晚餐.mp3
A-8,1,A,played the recorder,吹奏直笛,./sound/6上學期/A-8 吹奏直笛.mp3
A-9,1,A,listened to music,聽音樂,./sound/6上學期/A-9 聽音樂.mp3
A-10,1,A,played online games,玩線上遊戲,./sound/6上學期/A-10 玩線上遊戲.mp3
A-11,1,A,Did you understand what she said?Not at all.,你聽懂她在講什麼嗎？完全不懂。,./sound/6上學期/A-11 句子.mp3
A-12,1,A,I believe so.,我想是。,./sound/6上學期/A-12 句子.mp3
A-13,1,A,What did you do yesterday?,你昨天在做什麼？,./sound/6上學期/A-13 句子.mp3
A-14,1,A,I cleaned the room yesterday.,我昨天整理房間。,./sound/6上學期/A-14 句子.mp3
B-1,1,B,congratulation,恭喜,./sound/6上學期/B-1 恭喜.mp3
B-2,1,B,hard,困難的,./sound/6上學期/B-2 困難的.mp3
B-3,1,B,the tallest,最高的,./sound/6上學期/B-3 最高的.mp3
B-4,1,B,calm,平靜的,./sound/6上學期/B-4 平靜的.mp3
B-5,1,B,at the top,在頂端,./sound/6上學期/B-5 在頂端.mp3
B-6,1,B,visited my grandparents,拜訪祖父母,./sound/6上學期/B-6 拜訪.mp3
B-7,1,B,walked the dog,遛狗,./sound/6上學期/B-7 遛狗.mp3
B-8,1,B,watched a movie,看電影,./sound/6上學期/B-8 看電影.mp3
B-9,1,B,watched TV,看電視,./sound/6上學期/B-9 看電視.mp3
B-10,1,B,played basketball,打籃球,./sound/6上學期/B-10 打籃球.mp3
B-11,1,B,Taipei 101 is the tallest building in Taiwan.,台北 101 是台灣最高最高的建築。,./sound/6上學期/B-11句子.mp3
B-12,1,B,But he stayed calm.,但是他保持冷靜。,./sound/6上學期/B-12句子.mp3
B-13,1,B,Did you clean the room yesterday?,你昨天有整理房間嗎？,./sound/6上學期/B-13句子.mp3
B-14,1,B,Yes， I did. / No， I didn't. I cooked dinner yesterday.,是的。／沒有，我昨天煮晚餐。,./sound/6上學期/B-14句子.mp3
C-1,1,C,successful,成功的,./sound/6上學期/C-1 成功的.mp3
C-2,1,C,achievement,成就,./sound/6上學期/C-2 成就.mp3
C-3,1,C,because,因為,./sound/6上學期/C-3 因為.mp3
C-4,1,C,movie,電影,./sound/6上學期/C-4 電影.mp3
C-5,1,C,win,贏得,./sound/6上學期/C-5 贏得.mp3
C-6,1,C,had breakfast,吃早餐 (過去式),./sound/6上學期/C-6 吃早餐.mp3
C-7,1,C,had lunch,吃午餐 (過去式),./sound/6上學期/C-7 吃午餐.mp3
C-8,1,C,had dinner,吃晚餐 (過去式),./sound/6上學期/C-8 吃晚餐.mp3
C-9,1,C,surfed the Internet,上網,./sound/6上學期/C-9 上網.mp3
C-10,1,C,watered the flowers,澆花,./sound/6上學期/C-10 澆花.mp3
C-11,1,C,Ang Lee won the Best Director Oscar.,李安拿到了奧斯卡最佳導演獎。,./sound/6上學期/C-11句子.mp3
C-12,1,C,He made his dream come true.,他實現他的夢想。,./sound/6上學期/C-12句子.mp3
C-13,1,C,What time did you have breakfast?,你幾點吃早餐？,./sound/6上學期/C-13句子.mp3
C-14,1,C,I had breakfast at seven o'clock.,我七點鐘吃早餐。,./sound/6上學期/C-14句子.mp3
D-1,1,D,found,find 過去式,./sound/6上學期/D-1 過去式.mp3
D-2,1,D,fall,落下,./sound/6上學期/D-2 落下.mp3
D-3,1,D,everybody,每個人,./sound/6上學期/D-3 每個人.mp3
D-4,1,D,right,右邊,./sound/6上學期/D-4 右邊.mp3
D-5,1,D,grow,種植,./sound/6上學期/D-5 種植.mp3
D-6,1,D,did the dishes,洗碗盤,./sound/6上學期/D-6 洗碗盤.mp3
D-7,1,D,did the laundry,洗衣服,./sound/6上學期/D-7 洗衣服.mp3
D-8,1,D,went shopping,去購物,./sound/6上學期/D-8 去購物.mp3
D-9,1,D,went swimming,去游泳,./sound/6上學期/D-9 去游泳.mp3
D-10,1,D,download,下載,./sound/6上學期/D-10 下載.mp3
D-11,1,D,Look to your left.,看向你的左手邊。,./sound/6上學期/D-11句子.mp3
D-12,1,D,It's about half the size of Taipei.,它的大小大概是臺北的一半大。,./sound/6上學期/D-12句子.mp3
D-13,1,D,Did you go swimming yesterday?,你昨天去游泳嗎？,./sound/6上學期/D-13句子.mp3
D-14,1,D,Yes， I did. / No， I didn't. I went shopping yesterday.,是的。／沒有，我昨天去購物。,./sound/6上學期/D-14句子.mp3
E-1,1,E,fight,對抗,./sound/6上學期/E-1 對抗.mp3
E-2,1,E,continent,洲,./sound/6上學期/E-2 洲.mp3
E-3,1,E,Europe,歐洲,./sound/6上學期/E-3 歐洲.mp3
E-4,1,E,cancer,癌症,./sound/6上學期/E-4 癌症.mp3
E-5,1,E,pilot,飛機駕駛,./sound/6上學期/E-5 飛機駕駛.mp3
E-6,1,E,rained,下雨 (過去式),./sound/6上學期/E-6 下雨(過去式).mp3
E-7,1,E,stayed,留、待 (過去式),./sound/6上學期/E-7 留.待(過去式).mp3
E-8,1,E,landed,著陸 (過去式),./sound/6上學期/E-8 著陸(過去式).mp3
E-9,1,E,shouted,大叫 (過去式),./sound/6上學期/E-9 大叫(過去式).mp3
E-10,1,E,wanted,想要 (過去式),./sound/6上學期/E-10 想要(過去式).mp3
E-11,1,E,I guess you're right.,你說對了。,./sound/6上學期/E-11句子.mp3
E-12,1,E,I get air sick.,我暈機。,./sound/6上學期/E-12句子.mp3
E-13,1,E,Don't give out your password.,不要把密碼告訴他人。,./sound/6上學期/E-13句子.mp3
E-14,1,E,Ask before you download anything.,下載前先詢問。,./sound/6上學期/E-14句子.mp3
F-1,1,F,iceland,冰島,./sound/6上學期/F-1 冰島.mp3
F-2,1,F,volcano,火山,./sound/6上學期/F-2 火山.mp3
F-3,1,F,lava,岩漿,./sound/6上學期/F-3 岩漿.mp3
F-4,1,F,island,島嶼,./sound/6上學期/F-4 島嶼.mp3
F-5,1,F,become,變成,./sound/6上學期/F-5 變成.mp3
F-6,1,F,dishwasher,洗碗機,./sound/6上學期/F-6 洗碗機.mp3
F-7,1,F,energy,能源,./sound/6上學期/F-7 能源.mp3
F-8,1,F,robot cleaner,掃地機器人,./sound/6上學期/F-8 掃地機器人.mp3
F-9,1,F,broom,掃帚,./sound/6上學期/F-9 掃帚.mp3
F-10,1,F,housework,家務,./sound/6上學期/F-10 家務.mp3
F-11,1,F,Do you know which island is the world's biggest volcanic island?,你可知道哪個島是世界最大的火山島？,./sound/6上學期/F-11句子.mp3
F-12,1,F,Lava is not coming out of Datun Mountain.,大屯山沒有岩漿流出來。,./sound/6上學期/F-12句子.mp3
F-13,1,F,It saves time and effort.,它可以節省時間和精力。,./sound/6上學期/F-13句子.mp3
F-14,1,F,Some people like to do housework by hand.,有些人喜歡親手做家務。,./sound/6上學期/F-14句子.mp3
G-1,1,G,bite,咬,./sound/6上學期/G-1咬.mp3
G-2,1,G,sting,叮,./sound/6上學期/G-2叮.mp3
G-3,1,G,ouch,哎喲,./sound/6上學期/G-3哎喲.mp3
G-4,1,G,hurt,傷害,./sound/6上學期/G-4傷害.mp3
G-5,1,G,worse,更糟的,./sound/6上學期/G-5更糟的.mp3
G-6,1,G,beach,海灘,./sound/6上學期/G-6海灘.mp3
G-7,1,G,forest,森林,./sound/6上學期/G-7森林.mp3
G-8,1,G,island,島嶼,./sound/6上學期/G-8島嶼.mp3
G-9,1,G,lake,湖泊,./sound/6上學期/G-9湖泊.mp3
G-10,1,G,mountain,山脈,./sound/6上學期/G-10山脈.mp3
G-11,1,G,Taiwan is using drones to kill fire ants.,臺灣用無人機來消滅紅火蟻。,./sound/6上學期/G-11句1.mp3
G-12,1,G,Roaches are much worse than mosquitoes!,蟑螂比蚊子壞多了。,./sound/6上學期/G-12句2.mp3
G-13,1,G,Where did you go last weekend?,你上個週末去哪裡？,./sound/6上學期/G-13句3.mp3
G-14,1,G,I went to Sun Moon Lake last weekend.,我上個週末去日月潭。,./sound/6上學期/G-14句4.mp3
H-1,1,H,Brazil,巴西,./sound/6上學期/H-1巴西.mp3
H-2,1,H,famous,著名的,./sound/6上學期/H-2著名的.mp3
H-3,1,H,carnival,嘉年華,./sound/6上學期/H-3嘉年華.mp3
H-4,1,H,celebration,慶典,./sound/6上學期/H-4慶典.mp3
H-5,1,H,thief,小偷,./sound/6上學期/H-5小偷.mp3
H-6,1,H,river,河流,./sound/6上學期/H-6河流.mp3
H-7,1,H,hot spring,溫泉,./sound/6上學期/H-7溫泉.mp3
H-8,1,H,Nantou,南投,./sound/6上學期/H-8南投.mp3
H-9,1,H,Pingtung,屏東,./sound/6上學期/H-9屏東.mp3
H-10,1,H,Kaohsiung,高雄,./sound/6上學期/H-10高雄.mp3
H-11,1,H,Millions of people go to Carnival every year.,每年有好幾百萬人去嘉年華會。,./sound/6上學期/H-11句1.mp3
H-12,1,H,Brazil's police try to keep people safe from thieves.,巴西政策是避免人們的安全遭到小偷的威脅。,./sound/6上學期/H-12句2.mp3
H-13,1,H,Did you go to Sun Moon Lake,你上個星期五去日月潭嗎？,./sound/6上學期/H-13句3.mp3
H-14,1,H,Yes， I did.  /  No， I didn’t. I went to Green Island last Friday.,是的。/沒有，我上個星期五去綠島。,./sound/6上學期/H-14句4.mp3
I-1,1,I,fuel,燃料,./sound/6上學期/I-1燃料.mp3
I-2,1,I,fossil,化石,./sound/6上學期/I-2化石.mp3
I-3,1,I,mix,混合,./sound/6上學期/I-3混合.mp3
I-4,1,I,airlines,航空公司,./sound/6上學期/I-4航空公司.mp3
I-5,1,I,country,國家,./sound/6上學期/I-5國家.mp3
I-6,1,I,convenience store,便利商店,./sound/6上學期/I-6便利商店.mp3
I-7,1,I,MRT station,捷運站,./sound/6上學期/I-7捷運站.mp3
I-8,1,I,across from,在.....對面,./sound/6上學期/I-8在.....對面.mp3
I-9,1,I,between,在.....之間,./sound/6上學期/I-9在.....之間.mp3
I-10,1,I,next to,在.....旁邊,./sound/6上學期/I-10在.....旁邊.mp3
I-11,1,I,Taiwan wants all planes to make less dirty air.,台灣希望飛機不再造成空氣污染。,./sound/6上學期/I-11句1.mp3
I-12,1,I,Next year， Taiwan will make its own cleaner fuel.,明年，台灣也將自己製造新的環保燃料。,./sound/6上學期/I-12句2.mp3
I-13,1,I,Where is the tea shop?,茶飲店在哪裡？,./sound/6上學期/I-13句3.mp3
I-14,1,I,It’s between the science museum and the park.,它在科學博物館和公園之間。,./sound/6上學期/I-14句4.mp3
J-1,1,J,flip-flop,夾腳拖,./sound/6上學期/J-1夾腳拖.mp3
J-2,1,J,recycle,回收,./sound/6上學期/J-2回收.mp3
J-3,1,J,brake,剎車,./sound/6上學期/J-3煞車.mp3
J-4,1,J,learn,學習,./sound/6上學期/J-4學習.mp3
J-5,1,J,family,家人,./sound/6上學期/J-5家人.mp3
J-6,1,J,science museum,科學博物館,./sound/6上學期/J-6科學博物館.mp3
J-7,1,J,tea shop,茶飲店,./sound/6上學期/J-7茶飲店.mp3
J-8,1,J,restaurant,餐廳,./sound/6上學期/J-8餐廳.mp3
J-9,1,J,movie theater,電影院,./sound/6上學期/J-9電影院.mp3
J-10,1,J,supermarket,超市,./sound/6上學期/J-10超市.mp3
J-11,1,J,He was bored， so he tried something new.,他很無聊，所以嘗試了新事物。,./sound/6上學期/J-11句1.mp3
J-12,1,J,Where did your friend get the idea?,你的朋友怎麼想到這個主意?,./sound/6上學期/J-12句2.mp3
J-13,1,J,Is the MRT station next to the tea shop?,捷運站在茶飲店旁邊嗎？,./sound/6上學期/J-13句3.mp3
